date,Duration (min),Total Energy (kWh),Nº cartão EVIO,Plus,Temp
2023-02-02,0.0,0.0,46.0,0.0,10.25
2023-02-03,0.0,0.0,0.0,0.0,10.5
2023-02-04,0.0,0.0,0.0,0.0,11.0
2023-02-05,0.0,0.0,0.0,0.0,12.0
2023-02-06,0.0,0.0,0.0,0.0,11.25
2023-02-07,0.0,0.0,0.0,0.0,10.0
2023-02-08,0.0,0.0,0.0,0.0,10.5
2023-02-09,0.0,0.0,0.0,0.0,11.5
2023-02-10,8.083,0.85,46.0,0.0,10.25
2023-02-11,0.0,0.0,0.0,0.0,9.75
2023-02-12,0.0,0.0,0.0,0.0,10.25
2023-02-13,0.0,0.0,0.0,0.0,13.0
2023-02-14,339.95000000000005,14.100000000000001,92.0,0.0,27.5
2023-02-15,0.0,0.0,0.0,0.0,14.0
2023-02-16,0.0,0.0,0.0,0.0,14.0
2023-02-17,0.0,0.0,0.0,0.0,14.5
2023-02-18,0.0,0.0,0.0,0.0,13.75
2023-02-19,0.0,0.0,0.0,0.0,15.5
2023-02-20,0.0,0.0,0.0,0.0,14.5
2023-02-21,0.0,0.0,0.0,0.025,13.0
2023-02-22,0.0,0.0,0.0,0.0,12.5
2023-02-23,109.45,10.69,46.0,0.0,9.25
2023-02-24,0.0,0.0,0.0,0.0,7.75
2023-02-25,0.0,0.0,0.0,0.05,8.25
2023-02-26,0.0,0.0,0.0,0.0,10.75
2023-02-27,0.0,0.0,0.0,0.0,9.5
2023-02-28,0.0,0.0,0.0,0.0,8.75
2023-03-01,0.0,0.0,0.0,0.0,7.75
2023-03-02,0.0,0.0,0.0,0.0,8.5
2023-03-03,77.333,8.74,46.0,0.0,9.25
2023-03-04,0.0,0.0,0.0,0.0,10.5
2023-03-05,0.0,0.0,0.0,0.125,10.25
2023-03-06,0.0,0.0,0.0,0.07500000000000001,12.0
2023-03-07,71.733,8.2,46.0,0.025,13.5
2023-03-08,0.0,0.0,0.0,0.15,14.25
2023-03-09,0.0,0.0,0.0,0.2,14.0
2023-03-10,0.0,0.0,0.0,0.0,14.0
2023-03-11,0.0,0.0,0.0,0.0,14.75
2023-03-12,0.0,0.0,0.0,0.0,14.75
2023-03-13,0.0,0.0,0.0,0.1,13.5
2023-03-14,0.0,0.0,0.0,0.0,13.0
